id,city,match_date,season,match_number,team1,team2,venue,toss_winner,toss_decision,superover,winning_team,won_by,margin,method,player_of_match,umpire1,umpire2
1370353,Ahmedabad,29-05-2023,2023,Final,Gujarat Titans,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",Chennai Super Kings,field,N,Chennai Super Kings,wickets,5,D/L,DP Conway,Nitin Menon,RJ Tucker
1370352,Ahmedabad,26-05-2023,2023,Qualifier 2,Gujarat Titans,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",Mumbai Indians,field,N,Gujarat Titans,runs,62,NA,Shubman Gill,Nitin Menon,RJ Tucker
1370351,Chennai,24-05-2023,2023,Eliminator,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,bat,N,Mumbai Indians,runs,81,NA,Akash Madhwal,BNJ Oxenford,VK Sharma
1370350,Chennai,23-05-2023,2023,Qualifier 1,Chennai Super Kings,Gujarat Titans,"MA Chidambaram Stadium, Chepauk, Chennai",Gujarat Titans,field,N,Chennai Super Kings,runs,15,NA,RD Gaikwad,AK Chaudhary,CB Gaffaney
1359543,Mumbai,21-05-2023,2023,69,Sunrisers Hyderabad,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,N,Mumbai Indians,wickets,8,NA,C Green,KN Ananthapadmanabhan,RJ Tucker
1359544,Bengaluru,21-05-2023,2023,70,Royal Challengers Bangalore,Gujarat Titans,"M Chinnaswamy Stadium, Bengaluru",Gujarat Titans,field,N,Gujarat Titans,wickets,6,NA,Shubman Gill,Nitin Menon,VK Sharma
1359541,Delhi,20-05-2023,2023,67,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,bat,N,Chennai Super Kings,runs,77,NA,RD Gaikwad,CB Gaffaney,NA Patwardhan
1359542,Kolkata,20-05-2023,2023,68,Lucknow Super Giants,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,N,Lucknow Super Giants,runs,1,NA,N Pooran,J Madanagopal,UV Gandhe
1359540,Dharamsala,19-05-2023,2023,66,Punjab Kings,Rajasthan Royals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Rajasthan Royals,field,N,Rajasthan Royals,wickets,4,NA,D Padikkal,A Nand Kishore,RJ Tucker
1359539,Hyderabad,18-05-2023,2023,65,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Royal Challengers Bangalore,field,N,Royal Challengers Bangalore,wickets,8,NA,V Kohli,BNJ Oxenford,VK Sharma
1359538,Dharamsala,17-05-2023,2023,64,Delhi Capitals,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Punjab Kings,field,N,Delhi Capitals,runs,15,NA,RR Rossouw,KN Ananthapadmanabhan,MV Saidharshan Kumar
1359537,Lucknow,16-05-2023,2023,63,Lucknow Super Giants,Mumbai Indians,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Mumbai Indians,field,N,Lucknow Super Giants,runs,5,NA,MP Stoinis,AK Chaudhary,A Nand Kishore
1359536,Ahmedabad,15-05-2023,2023,62,Gujarat Titans,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",Sunrisers Hyderabad,field,N,Gujarat Titans,runs,34,NA,Shubman Gill,J Madanagopal,UV Gandhe
1359534,Jaipur,14-05-2023,2023,60,Royal Challengers Bangalore,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore,bat,N,Royal Challengers Bangalore,runs,112,NA,WD Parnell,KN Ananthapadmanabhan,Navdeep Singh
1359535,Chennai,14-05-2023,2023,61,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat,N,Kolkata Knight Riders,wickets,6,NA,RK Singh,Tapan Sharma,Vinod Seshan
1359532,Hyderabad,13-05-2023,2023,58,Sunrisers Hyderabad,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,bat,N,Lucknow Super Giants,wickets,7,NA,PN Mankad,A Totre,J Madanagopal
1359533,Delhi,13-05-2023,2023,59,Punjab Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,N,Punjab Kings,runs,31,NA,P Simran Singh,CB Gaffaney,NA Patwardhan
1359531,Mumbai,12-05-2023,2023,57,Mumbai Indians,Gujarat Titans,"Wankhede Stadium, Mumbai",Gujarat Titans,field,N,Mumbai Indians,runs,27,NA,SA Yadav,Nitin Menon,Tapan Sharma
1359530,Kolkata,11-05-2023,2023,56,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,field,N,Rajasthan Royals,wickets,9,NA,YBK Jaiswal,RJ Tucker,MV Saidharshan Kumar
1359529,Chennai,10-05-2023,2023,55,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat,N,Chennai Super Kings,runs,27,NA,RA Jadeja,CB Gaffaney,NA Patwardhan
1359528,Mumbai,09-05-2023,2023,54,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,N,Mumbai Indians,wickets,6,NA,SA Yadav,HAS Khalid,VK Sharma
1359527,Kolkata,08-05-2023,2023,53,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Punjab Kings,bat,N,Kolkata Knight Riders,wickets,5,NA,AD Russell,A Totre,J Madanagopal
1359525,Ahmedabad,07-05-2023,2023,51,Gujarat Titans,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad",Lucknow Super Giants,field,N,Gujarat Titans,runs,56,NA,Shubman Gill,AK Chaudhary,A Nand Kishore
1359526,Jaipur,07-05-2023,2023,52,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,N,Sunrisers Hyderabad,wickets,4,NA,GD Phillips,Nitin Menon,Vinod Seshan
1359523,Chennai,06-05-2023,2023,49,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,field,N,Chennai Super Kings,wickets,6,NA,M Pathirana,BNJ Oxenford,Navdeep Singh
1359524,Delhi,06-05-2023,2023,50,Royal Challengers Bangalore,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,bat,N,Delhi Capitals,wickets,7,NA,PD Salt,RJ Tucker,YC Barde
1359522,Jaipur,05-05-2023,2023,48,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,N,Gujarat Titans,wickets,9,NA,Rashid Khan,HAS Khalid,VK Sharma
1359521,Hyderabad,04-05-2023,2023,47,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kolkata Knight Riders,bat,N,Kolkata Knight Riders,runs,5,NA,CV Varun,KN Ananthapadmanabhan,MA Gough
1359519,Lucknow,03-05-2023,2023,45,Lucknow Super Giants,Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Chennai Super Kings,field,N,NA,no result,NA,NA,NA,AK Chaudhary,NA Patwardhan
1359520,Chandigarh,03-05-2023,2023,46,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field,N,Mumbai Indians,wickets,6,NA,Ishan Kishan,J Madanagopal,RJ Tucker
1359518,Ahmedabad,02-05-2023,2023,44,Delhi Capitals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,bat,N,Delhi Capitals,runs,5,NA,Mohammed Shami,MA Gough,R Pandit
